source,target,source example,target example,source language,target language,source segment,url,comment
"di corsa","in a hurry","Hanno finito il progetto di corsa per rispettare la scadenza.","They finished the project in a hurry to meet the deadline.","it","en","","","fast, in a rush"
"a spasso","walking","Fanno due chiacchiere ogni sera mentre portano a spasso i cani insieme.","They bat the breeze every evening while walking their dogs together.","it","en","","","for a walk, to walk"
"tavolino","coffee table","Disponiamo le riviste sul tavolino per averle a portata di mano.","Let's stack the magazines on the coffee table for easy access.","it","en","","","table, small table"
"perbene","decent","Ho sentito che insegnerà solo a bambini perbene, d'ora in poi.","I hear you'll be teaching decent children from now on.","it","en","","","good, nice"
"ciccione","fat man","Hamilton non troverebbe un ciccione ad una fiera di paese.","Hamilton couldn't find a fat man in a county fair.","it","en","","","fatty, porker"
"incensurato","uncensored","Le ricerche sono iniziate partendo da una ripresa di una videocamera di sorveglianza, così hanno avuto un'immagine del colpevole, ma era incensurato, quindi sui database della polizia non figurava.","The researches started from the shot of a surveillance camera, so they had an image of the murderer, but he was uncensored, so he didn't appear in the databases of the police.","it","en","","","clean-handed, uncensured"
"magazzino","warehouse","Il vecchio magazzino si presta perfettamente alla conversione in moderni appartamenti tipo loft.","The old warehouse lends itself perfectly to conversion into modern loft apartments.","it","en","","","stock, storage"
"spezia","spice","Notò una differenza minuscola nel gusto dopo aver aggiunto solo una spezia.","He noticed a miniscule difference in taste after adding just one spice.","it","en","","","seasoning, pimenta"
"contadino","farmer","Il contadino tiene per i giorni di magra raccolti extra in caso di siccità.","The farmer stores away extra crops to prepare for possible drought years.","it","en","","","peasant, farm"
"farm","fattoria","He always has a blast when he visits his grandparents' farm.","Si diverte sempre un mondo quando visita la fattoria dei nonni.","en","it","","","agriturismo, azienda agricola"
"foresta","forest","La foresta si anima di notte con le attività degli animali notturni.","The forest comes to life at night with nocturnal animal activities.","it","en","","","wood, jungle"
"da quest'ultimo","by the latter","La necessità è valutata al meglio da quest'ultimo.","The necessity is best assessed by the latter.","it","en","","","from the latter, from this last"
"perciò","so","Senza contare che non ti ho mai detto ""grazie"" perciò...","Not to mention, I never even said thank you so...","it","en","","","therefore, thus"
"logorare","wear down","Avanzare di corsa può logorare la difesa avversaria nel corso del tempo.","Rushing the ball can wear down an opposing defense over time.","it","en","","","wear out, fray"
"licenziamento","dismissal","Farsi al lavoro ha portato al suo immediato licenziamento dall'azienda.","Getting high at work led to his immediate dismissal from the company.","it","en","","","firing, termination"
"magro","thin","Il cane sembrava malcurato, con il pelo arruffato e il corpo magro.","The dog appeared uncared for, with matted fur and a thin frame.","it","en","","","lean, skinny"
"strabirdare","overflow","Vabbe', quello stava per strabordare in ogni caso.","Well, that one was starting to overflow anyway.","it","en","","","slop over, bubble over"
"scollatura","neckline","La scollatura vertiginosa del suo abito attirò l'attenzione all'evento glamour.","The plunging neckline of her dress turned heads at the glamorous event.","it","en","","","cleavage, neck"
"cucire","sew","Imparò a cucire alamari per personalizzare i suoi vestiti con dettagli affascinanti.","She learned to sew frogs and personalize her clothing with charming details.","it","en","","","stitch, knit"
"primeggiare","excel","Essi pensano che questi due discepoli vogliano primeggiare su di essi.","They think that these two disciples want to excel on them.","it","en","","","stand out, dominate"
"sarto","tailor","Il sarto cuce ogni bottone a mano per garantire la massima qualità della rifinitura.","The tailor sews each button by hand to ensure the highest quality finish.","it","en","","","dressmaker, couturier"
"collocare","place","La mappa termica ci ha aiutato a determinare dove collocare risorse aggiuntive durante l'evento.","The heat map helped us determine where to place additional resources during the event.","it","en","","","put, position"
"altezzoso","haughty","Con un sussiego altezzoso, ha respinto i suoi complimenti come mera adulazione.","With a haughty sniff, she dismissed his compliments as mere flattery.","it","en","","","condescending, snooty"
"e via discorrendo","and so on","Madre e figlio riuniti, lacrime di gioia e via discorrendo.","Mother and son reunited, tears of joy and so on.","it","en","","",""
"strada facendo","along the way","Se accetti tutti quelli che incontri strada facendo come insegnanti.","If you accept everyone you meet along the way as teachers.","it","en","","","en route, somewhere along the line"
"abbinarsi","match","Le decorazioni sono state scelte adeguatamente per abbinarsi al tema della festa.","The decorations were chosen appropriately to match the theme of the party.","it","en","","","pair, complement"
"indesiderato","unwanted","Ieri si è dimenticato di rimuovere un articolo indesiderato dal suo carrello.","He forgot to remove an unwanted item from his shopping cart yesterday.","it","en","","","undesirable, undesired"
"strillione","newsboy","E poi, mi sono ricordato dello strillone.","And then, I remembered the newsboy.","it","en","","","newsie, paperboy"
"destare","arouse","Parlava dolcemente per destare il suo interesse nella sua proposta.","He spoke softly to arouse her interest in his proposal.","it","en","","","awaken, rouse"
"brancolare","grope","Nel frattempo, la polizia continuò a brancolare nello stesso buio in cui agiva l'assassino.","Meanwhile, police continued to grope in the same darkness in which acted the murderess.","it","en","","","fumble, grope for"
"rittatto","portrait","Il ritratto ha catturato i lineamenti del soggetto a fuoco nitido a media distanza.","The portrait captured the subject's features in sharp focus at middle distance.","it","en","","","picture, portrayal"
"rapire","kidnap","Il film ruotava attorno a un audace piano per rapire un politico.","The movie revolved around a daring plot to kidnap a politician.","it","en","","","abduct, steal"
"abbondante","abundant","Molti animali danno alla luce in primavera quando il cibo è più abbondante.","Many animals give birth in spring when food is more abundant.","it","en","","","plentiful, hearty"
"allentare","loosen","Un po' d'olio d'oliva dovrebbe fare al caso per allentare quel bullone ostinato.","A little olive oil should do the trick to loosen that stubborn bolt.","it","en","","","ease, relax"
"saggezza","wisdom","Gli anziani del villaggio tramandano la loro saggezza dalla notte dei tempi.","The village elders have passed down their wisdom from time immemorial.","it","en","","","sense, wiseness"
"ossuto","bony","Sentiva un gomito ossuto spingerlo ogni volta che sedevano insieme a cena.","He felt a bony elbow poke him whenever they sat together at dinner.","it","en","","","scrawny, skinny"
"scorgere","see","Guardando verso sudovest, potevamo scorgere il profilo sfumato delle montagne in lontananza.","Looking southwest, we could see the faint outline of the distant mountains.","it","en","","","glimpse, spot"
"congendarsi","take leave","Mentre la festa volgeva al termine, gli ospiti cominciarono a congedarsi uno per uno.","As the party wound down, guests began to take leave one by one.","it","en","","","say goodbye, dismiss"
"tovagliolo","napkin","Dispiegò con cura il tovagliolo inamidato e lo posò sulle ginocchia.","He unfolded the crisp napkin and placed it on his lap carefully.","it","en","","","towel, serviette"
"impastare","knead","Le piace guardare video su come impastare il pane e migliorare le sue abilità.","She enjoys watching videos on how to knead bread and improve her skills.","it","en","","","mix, pug"
"premere","press","Ero tentato di premere il tasto snooze della sveglia invece di alzarmi.","I felt tempted to press snooze on my alarm instead of getting up.","it","en","","","push, hit"
"stendere","spread","Hanno creato una glassa spalmabile facile da stendere ma deliziosamente dolce.","They created a brushable frosting that was easy to spread but deliciously sweet.","it","en","","","roll out, apply"
"stendire","spread","Hanno creato una glassa spalmabile facile da stendere ma deliziosamente dolce.","They created a brushable frosting that was easy to spread but deliciously sweet.","it","en","","","roll out, apply"
"rivestire","cover","Ha studiato la tappezzeria per imparare a rivestire con eleganza i vecchi mobili.","She studied upholstery to learn how to cover old furniture beautifully.","it","en","","","coat, play"
"grattugiare","grate","Grattugiare finemente le carote e aggiungerle al composto di cuscus e ceci.","Finely grate carrots and add to the couscous and chickpea mixture.","it","en","","","zest"
"farcita","stuffed","La mamma ha comprato una torta farcita decorata con glassa colorata per il mio compleanno.","Mom bought a stuffed cake decorated with bright icing for my birthday.","it","en","","","filled, topped"
"vizio","vice","La sua dipendenza era un vizio che l'ha isolata da tutti.","Her addiction was a vice that isolated her from everyone.","it","en","","","habit, defect"
"intuitivo","intuitive","Preferisco usare un diagramma a torta per i dati demografici perché è più intuitivo.","I prefer using a pie chart for demographics because it is more intuitive.","it","en","","","user-friendly, easy-to-use"
"allevamento","breeding","Legge libri sull'allevamento di piccoli animali per migliorare il suo gregge.","He reads books about breeding small livestock to improve his flock.","it","en","","","farm, farming"
"prendere piede","take hold","Dopo il conflitto, il risentimento iniziò a prendere piede nella loro relazione.","After the conflict, resentment began to take hold in their relationship.","it","en","","","catch on, gain a foothold"
"stirare","iron","Si è ricordata di stirare i tovaglioli per la cena di festa.","She remembered to iron the table napkins for the festive dinner.","it","en","","","stretch, press"
"venire voglia","me want to","Mi fa venire voglia di cavalcare a torso nudo nella nebbia.","It makes me want to ride my horse shirtless through the mist.","it","en","","","you want to, me wanna"
"interruttore","switch","Nel vecchio edificio, la posizione dell'interruttore della luce era insolita.","In the older building, the light switch placement was unconventional.","it","en","","","breaker, circuit breaker"
"tagliare","cut","Pulire e lavare i fegatini, asciugarli e tagliarli, tagliare le verdure e soffriggerle in padella con olio.","Clean and wash the chicken livers, dry them and cut, cut vegetables and fry in a pan with oil.","it","en","","","cut off, trim"
"già a cavallo","fine!","Assicurati che i tuoi visitatori possano trovare al volo le informazioni più importanti e di seguire questi consigli, e vedrai che sarai già a cavallo!","Make sure your visitors can find the most important information straight away and then stick to the tips offered above and you'll be fine!","it","en","","",""
"gettare la spugna","throw in the towel","Dopo mesi di difficoltà, il proprietario della piccola impresa decise di gettare la spugna.","After months of struggling, the small business owner decided to throw in the towel.","it","en","","","give up, throw in the sponge"
"piaccia e non piaccia","like it or not","Dovrai accettare le conseguenze, piaccia o non piaccia.","You will have to accept the consequences, like it or not.","it","en","","",""
"sfottere","make fun","Tu per l'anno nuovo dovresti smettere di sfottere gli amici.","Maybe your resolution should be not to make fun of your friends.","it","en","","","tease, mock"
"dirittura","uprightness","Acton avviò un processo di rinnovamento che consentisse di rinforzare notevolmente la dirittura etico-morale degli ufficiali, in modo che essi potessero funzionare come esempio per il resto della popolazione.","Acton began a process of renewal that would allow considerably strengthen the ethical and moral uprightness of the officers, so that they could function as an example for the rest of the population.","it","en","","","integrity, straight"
"salvagente","life preserver","Hanno imparato a usare un salvagente durante le loro lezioni di nuoto.","They learned how to use a life preserver during their swimming lessons.","it","en","","","life preserver, lifesaver"
"banconota","banknote","Non fermate una banconota con i piedi se sta per volare via.","Do not stop a banknote with your feet if it's flying away.","it","en","","","bill, note"
"soprammobile","ornament","Non mi sembra un soprammobile che prende polvere.","Doesn't sound like an ornament gathering dust to me.","it","en","","","knick-knack, bent fork"
"sottobanco","backroom","Le negoziazioni erano piene di intrighi e accordi sottobanco.","The negotiations were filled with skulduggery and backroom deals.","it","en","","","under-the-table, undercounter"
"sopranome","nickname","Che mi rappresenta come uomo: incurabilmente ottimista e molto allegro, ma anche estremamente loquace: potrei descrivere il mondo in 48 ore senza smettere di parlare; ho anche un sopranome funny, ma lo divulgo soltanto personalmente.","What represents me as a person: hopeless optimist and very joyful, and also extremely talkative: I could describe the world in 48 hours without stopping from talking; as a result I received a funny nickname, but I will tell it to you only personally.","it","en","","","short name"
"dormisveglia","doze","Vi preghiamo di restituire la stessa dormiveglia di rispetto che hai da noi.","Please give us back the same doze of respect you got from us.","it","en","","","half-sleep, drowsiness"
"cassaforte","safe","I documenti sono custoditi in una cassaforte ignifuga per protezione.","The documents are stored in a fireproof safe for protection.","it","en","","","safety deposit box, vault"
"pioggia","rain","Il concerto è iniziato in orario, nonostante la forte pioggia fuori.","The concert started on time, despite the heavy rain outside.","it","en","","","rainfall, shower"
"rallentamento","slowdown","La scienza triste prevede un rallentamento della crescita economica per il prossimo anno.","The dismal science predicts a slowdown in economic growth for next year.","it","en","","","slowing, slow down"
"pron7ncia","pronunciation","Man mano che ti eserciti, la tua pronuncia migliorerà naturalmente.","As you practice more, your pronunciation will get better naturally.","it","en","","","ruling, decision"
"sconfitta","defeat","La squadra cercava grane per vendicarsi dopo la sconfitta precedente.","The team was spoiling for revenge after their previous defeat.","it","en","","","loss, losing"
"terrona","Southerner","500 gr (la dose è naturalmente terrona, diciamo che 300 gr possono andare più che bene) di pasta corta come rigatoni o penne rigate","500 grs (the dose is of course Southerner, let's say 300 grs can go just fine) short pasta such as rigatoni or penne","it","en","","",""
"everyone","tutti","The motivational speaker encouraged everyone to push it beyond their limits.","Il motivatore ha incoraggiato tutti a non mollare oltre i propri limiti.","en","it","","","ognuno, chiunque"
"polemica","controversy","Dopo la recente polemica, molti lo hanno esortato a dimettersi con grazia.","After the recent controversy, many urged the governor to stand down gracefully.","it","en","","","polemic, debate"
"umpteenth","ennesimo","After the umpteenth suggestion, they decided to pause for lunch.","Dopo l'ennesimo suggerimento, hanno deciso di fermarsi per pranzo.","en","it","","",""
"ribattere","argue","Anche se potrei ribattere che la soluzione più sana sarebbe la completa trasparenza.","Although I might argue that a healthier option would be full transparency.","it","en","","","talk back, reply"
"avvertire","warn","Quando si sentivano minacciati, abbaiavano per avvertire i loro padroni del pericolo.","When they felt threatened, they would bay to warn their owners of danger.","it","en","","","feel, experience"
"uscirsene con","come up with","Solo un avvocato poteva uscirsene con una frase del genere.","Only lawyers could come up with something like that.","it","en","","",""
"esclamare","exclaim","Scoprire che dovevo lavorare fino a tardi ha spinto il mio amico a esclamare grazie tante.","Finding out I had to work late prompted my friend to exclaim thanks a heap.","it","en","","","cry out, shout"
"scherzare","joke","Cercò debolmente di scherzare sulla situazione, ma cadde nel vuoto.","He feebly tried to joke about the situation, but it fell flat.","it","en","","","fool around, play"
"pagliaccio","clown","I bambini urlavano come matti quando hanno visto il pagliaccio.","The kids were screaming their heads off when they saw the clown.","it","en","","","joker, bozo"
"accalappiacani","dog catcher","Durante la festa, l'accalappiacani ha dimostrato come gestire gli animali randagi.","During the festival, the dog catcher demonstrated how to handle stray animals.","it","en","","","dogcatcher, animal control officer"
"beccato","caught","È stato beccato mentre tentava di rubare oggetti dal negozio.","He was caught attempting to pocket items from the store.","it","en","","","busted, picked up"
"medaglietta","medal","L'aggiunta della piccola medaglietta color oro impeziosisce e da luce alla lavorazione.","The addition of small gold medal embellishes and from light to processing.","it","en","","","dog tag, medallion"
"gallina","chicken","Vari fattori influenzano quante uova una gallina deporrà ogni anno.","Various factors influence how many eggs a chicken will lay each year.","it","en","","","hen, fowl"
"cestino","basket","Ha nove mele nel suo cestino, più di chiunque altro.","He has nine apples in his basket, more than anyone else.","it","en","","","trash, recycle bin"
"staccabile","detachable","Apprezzava la tracolla staccabile sulla sua borsa per opzioni di trasporto aggiuntive.","She appreciated the detachable strap on her purse for additional carrying options.","it","en","","","removable, peelable"
"immigrante","immigrant","Diventò selvaggio perché ogni immigrante bianco obbediva solo le sue proprie leggi.","It became wild because each white immigrant obeyed only his own laws.","it","en","","","migrant"
"miscuglio","mixture","Il miscuglio sgradevole di verdure avariate mi fece perdere l'appetito.","The unsavory mixture of spoiled vegetables made me lose my appetite.","it","en","","","mix, blend"
"proveniente","coming","I vicini si lamentavano della musica ad alto volume proveniente dallo stereo portatile accanto.","Neighbors complained about the loud music coming from the ghetto blaster next door.","it","en","","","originating, sourced"
"pancia","belly","La fascia intorno alla pancia della donna incinta era sia elegante che pratica.","The wrap around the pregnant woman's belly was both stylish and practical.","it","en","","","stomach, tummy"
"guastare","spoil","Il calore eccessivo può guastare frutti delicati come fragole e pesche.","Excessive heat can spoil delicate fruits like strawberries and peaches.","it","en","","","ruin, mar"
"pignucolome","crybaby","È conosciuto per essere un piagnucolone emotivo tra i suoi amici.","He is known for being an emotional crybaby among his friends.","it","en","","","whiner, weeper"
"specchietto","mirror","Il suo specchietto da trucco era decorato con fiori colorati e brillantini.","Her compact mirror was decorated with colorful flowers and glitter.","it","en","","","hand mirror, rear-view"
"autodeterminazione","self-determination","Molte culture apprezzano l'idea di autodeterminazione per il loro popolo.","Many cultures cherish the idea of self-determination for their people.","it","en","","","self determination, selfdetermination"
"sprofondare","sink","Dopo la scalata, potevano vedere la valle sprofondare sotto di loro.","After the climb, they could see the valley sink beneath them.","it","en","","","sink into, plunge"
"piagnucolone","crybaby","È conosciuto per essere un piagnucolone emotivo tra i suoi amici.","He is known for being an emotional crybaby among his friends.","it","en","","","whiner, weeper"
"piangere","cry","Essere un terapista significa fornire una spalla su cui piangere professionale per i clienti.","Being a therapist means providing a professional shoulder to cry on for clients.","it","en","","","weep, tear"
"bagliore","glow","Al tramonto, l'orizzonte sembrava avvolto da un bagliore dorato.","At sunset, the horizon seemed surrounded by a golden glow.","it","en","","","glare, flash"
"tremare","shake","Ha sentito l'adrenalina fargli tremare le ginocchia durante la partita.","He felt the adrenaline rush make his knees shake during the game.","it","en","","","tremble, shiver"
"avvicinamento","approach","I rami scattanti sotto i piedi segnalavano il loro avvicinamento attraverso la foresta.","The snapping branches underfoot signaled their approach through the forest.","it","en","","","approaching, rapprochement"
"ciliegia","cherry","Una copertina rosso ciliegia ha attirato molti giovani lettori alla fiera.","A cherry book cover attracted many young readers at the fair.","it","en","","","cerise, cherry-red"
"ingoiare","swallow","Ho trovato difficile da ingoiare il sapore amaro della medicina.","I found the harsh taste of the medicine tough to swallow.","it","en","","","eat, gulp down"
"abituarsi","get used","Ci vuole un po' per abituarsi alle maniglie a prova di bambino.","It takes a while to get used to the childproof doorknobs.","it","en","","","become accustomed, get accustomed"
"confezione","packaging","Le istruzioni per l'uso erano chiaramente visibili sulla confezione del prodotto.","The instructions for use were clearly displayed on the product packaging.","it","en","","","package, pack"
"sfuso","bulk","Il cavo elastico può essere acquistato sfuso senza i ganci.","Bungee cord can be bought in bulk without the hooks.","it","en","","","loose, unbottled"
"consumismo","consumerism","Questa tendenza rasenta l'eccesso, portando a un aumento del consumismo.","This trend verges on excessive, leading to a rise in consumerism.","it","en","","","consumption, commercialism"
"rimpiere","fill","Per favore, prendi un po' di tempo per riempiere questo formulario.","Please take a moment to fill out this form.","it","en","","",""
"rallantare","slow down","A breve termine, il nuovo software potrebbe rallentare la nostra produttività.","In the short run, the new software might slow down our productivity.","it","en","","","slow, delay"
"tirocinante","intern","La tirocinante ha imparato strategie di marketing durante il suo programma estivo.","The intern learned about marketing strategies during her summer program.","it","en","","","trainee, resident"
"escogitare","devise","Devono escogitare un metodo efficace per monitorare il feedback dei clienti.","They must devise a method for tracking customer feedback effectively.","it","en","","","come up with, figure out"
"aderire","join","La strategia di prezzi scalari ha incoraggiato più persone ad aderire all'abbonamento.","The graduated pricing strategy encouraged more people to join the membership.","it","en","","","adhere, accede"
"tutto fa brodo","every little bit helps","Lo dicevo io, tutto fa brodo.","Told you, every little bit helps.","it","en","","",""
"origliare","eavesdrop on","Quell'intrigante trovava sempre un modo per origliare le nostre conversazioni.","The sneak always found a way to eavesdrop on our conversations.","it","en","","","overhear, earwig"
"post office","ufficio postale","Without a stamp, the package would never leave the post office.","Senza francobollo, il pacco non avrebbe mai lasciato l'ufficio postale.","en","it","","","posta"
"imballaggio","packaging","Si è dimenticata di sigillare l'imballaggio prima di spedire la merce.","She forgot to close up the packaging before sending the shipment.","it","en","","","packing, package"
"valvola di sfogo","outlet","Partecipare alle funzioni della chiesa offre una significativa valvola di sfogo sociale per molte famiglie.","Attending church functions offers a significant social outlet for many families.","it","en","","","relief valve, safety valve"
"anonimità","anonymity","Ottenere l'anonimità completa on-line è estremamente difficile se non impossibile.","Achieving complete anonymity online is extremely difficult if not impossible.","it","en","","",""
"prevedere","predict","Non possiamo prevedere l'esito delle elezioni, ma chi vivrà vedrà.","We can't predict the outcome of the election, but time will tell.","it","en","","","provide, provide for"
"coriandoli","confetti","Ha lanciato una manciata di coriandoli in aria durante la festa.","He threw a handful of confetti into the air at the celebration.","it","en","","","ticker tape, corianders"
"supporto","support","La scuola fornisce un supporto speciale per gli studenti che sono nello spettro.","The school provides special support for students who are on the spectrum.","it","en","","","supporting, medium"
"invadente","intrusive","Preferisce mandare messaggi perché lo trova meno invadente di una telefonata.","He prefers texting because it feels less intrusive than a phone call.","it","en","","","pushy, invasive"
"incurante","careless","Il suo approccio miope alla vita lo lasciava incurante delle conseguenze future.","His shortsighted approach to life left him careless of future consequences.","it","en","","","heedless, oblivious"
"provvedimento","measure","Appoggiamo pienamente ogni provvedimento atto a rendere il volo più conveniente.","We fully support any measure which helps make travel more affordable.","it","en","","","provision, order"
"dirompente","disruptive","Il processo di transizione da un progetto all'altro può essere piuttosto dirompente.","The process of switching from one project to another can be quite disruptive.","it","en","","","explosive, shattering"
"goffo","clumsy","Il suo approccio traballante ha fatto ridere tutti per quanto sembrasse goffo.","His lurching approach made everyone chuckle at how clumsy he seemed.","it","en","","","awkward, goofy"
"svenire","faint","Se non fai colazione, potresti svenire prima di pranzo.","If you don't eat breakfast, you may faint before lunch.","it","en","","","pass out, swoon"
"frastornato","dizzy","Era frastornato dopo aver fissato lo schermo del computer per troppo tempo.","He was dizzy after staring at the computer screen for too long.","it","en","","","dazed, bewildered"
"scoppiare","burst","Durante il gioco, una frecciatina scherzosa fece scoppiare tutti a ridere.","During the game, a playful dig made everyone burst into laughter.","it","en","","","pop, explode"
"destinatario","recipient","La sua lettera sentita è riuscita a commuovere il destinatario con emozione.","Her heartfelt letter managed to knock out the recipient with emotion.","it","en","","","consignee, addressee"
"essere fuorviante","be misleading","Investire basandosi solo sul valore contabile può talvolta essere fuorviante senza contesto.","Investing based solely on book value can sometimes be misleading without context.","it","en","","",""
"forestiero","stranger","In quella piccola città, ogni forestiero era trattato come uno di famiglia.","In that small town, every stranger was treated like family.","it","en","","","foreigner, outsider"
"tipaccio","bad dude","Ti awerto, è un tipaccio.","Let me warn you, he's a bad dude.","it","en","","","bad guy, thug"
"cortometraggi","short films","Sto imparando a sottotitolare i miei cortometraggi per attirare più spettatori.","I am learning how to caption my short films to attract more viewers.","it","en","","","shorts, short movies"
"affinche","order that","Ha parlato lentamente affinché il pubblico potesse seguire il suo discorso.","He spoke slowly in order that the audience could follow his speech.","it","en","","","whereby, in order for"
"prestito","loan","Se la banca non approva il nostro prestito, siamo fritti.","If the bank doesn't approve our loan, we're done for.","it","en","","","borrowing, lending"
"a patto che","on condition that","Parteciperemo alla festa a patto che possiamo andarcene prima di mezzanotte.","We'll attend the party on condition that we can leave before midnight.","it","en","","","so long as, on the condition that"
"perchè","because","Per me è stato splendido, perchè amo la vita di campagna.","For me it was wonderful, because I love country life.","it","en","","",""
"spiccare il volo","take flight","Adoro osservare il combattente spiccare il volo sopra le zone paludose.","I love observing a ruff take flight over the marshy area.","it","en","","","fly, take to the skies"
"panchina","bench","Ha realizzato una robusta panchina per il giardino con legno di recupero.","She carpentered a sturdy bench for the garden from reclaimed wood.","it","en","","","dugout, coach"
"lastricare","pave","Dopo otto giorni abbiamo solo tante pietre da poter lastricare una strada.","Eight days, and all we dig up are enough stones to pave a road.","it","en","","","slab, cobble"
"mormorio","murmur","Un mormorio soffice percorse la folla mentre il mago eseguiva il suo trucco.","A breathy murmur spread through the crowd as the magician performed his trick.","it","en","","","murmuring, hum"
"sfuggevole","elusive","Dopo diversi mesi di indagini, la polizia ha finalmente catturato il sfuggevole sicario.","After several months of investigation, the police finally captured the elusive triggerman.","it","en","","","fleeting, slippery"
"d'altronde","on the other hand","Tu, d'altronde, non sei stata accusata di niente.","You, on the other hand, haven't been convicted of anything.","it","en","","","moreover, besides"
"paesino","village","È cresciuto in un paesino di campagna dove tutti si conoscevano.","He grew up in a provincial village where everyone knew each other.","it","en","","","small village, small town"
"lattuga","lettuce","Il sandwich appena preparato era farcito di morbido avocado e lattuga croccante.","The freshly made sandwich was piled with soft avocado and crunchy lettuce.","it","en","","","romaine, garden lettuce"
"boccone","bite","Dopo un boccone veloce, il panino sparì in pochi secondi.","After a quick bite, the sandwich disappeared in seconds.","it","en","","","mouthful, morsel"
"affinché","order that","Ha parlato lentamente affinché il pubblico potesse seguire il suo discorso.","He spoke slowly in order that the audience could follow his speech.","it","en","","","whereby, in order for"
"ingranare","gear","Questo crea le condizioni che permettono al coachee di illuminarsi, e ingranare un'altra marcia.","This creates the conditions that allow the coachee to light up, and gear another gear.","it","en","","","mesh, engage"
"attecchire","take root","Nelle giuste condizioni, qualsiasi idea può attecchire e fiorire.","In the right conditions, any idea can take root and flourish.","it","en","","","take hold, gain traction"
"grissino","breadstick","Ho gustato un croccante grissino con la mia zuppa a pranzo oggi.","I enjoyed a crispy breadstick with my soup at lunch today.","it","en","","","grissino, bread stick"
"allattano","breastfeed","Roma, piena e gravida di donne che allattano la tua luce.","Rome, full and pregnant of women who breastfeed your light.","it","en","","","nurse, suckling"
"lapide","tombstone","Era convinto che toccare la lapide gli avesse portato sfortuna.","He was convinced that touching the tombstone caused him bad luck.","it","en","","","plaque, headstone"
"indirettamente","indirectly","Un voto per delega consente agli azionisti di partecipare indirettamente alle decisioni.","A proxy vote allows shareholders to participate indirectly in decision-making.","it","en","","","vicariously, obliquely"
"gita","trip","La vecchia barca ha cominciato a fare acqua durante la nostra gita di pesca.","The old boat started to spring a leak during our fishing trip.","it","en","","","tour, excursion"
"goccia","drop","Pulire una spiaggia è solo una goccia nel mare dell'inquinamento da plastica.","Cleaning one beach is just a drop in the ocean of plastic pollution.","it","en","","","drip, teardrop"
"scattare","take","Il paesaggio mozzafiato spingeva i turisti a scattare innumerevoli fotografie.","The beautiful scenery beckoned the tourists to take countless photographs.","it","en","","","shoot, trigger"
"contraffatto","counterfeit","Dobbiamo educare le persone sui pericoli dello spaccio di denaro contraffatto.","We need to educate people about the dangers of uttering counterfeit cash.","it","en","","","forged, counterfeited"
"strappare","tear","Ha provato a strappare la carta, ma era troppo resistente.","She tried to tear the paper, but it was too strong.","it","en","","","rip, snatch"
"proginto","preparing","Il parroco consigliava alle coppie in procinto di sposarsi di frequentare i corsi prematrimoniali.","The parish priest advised couples preparing for marriage to attend pre-marital classes.","it","en","","","point, brink"
"districare","untangle","Faticò a districare lo spago annodato per il suo progetto artistico.","He struggled to untangle the knotted string for his art project.","it","en","","","detangle, unravel"
"groviglio","tangle","Il gatto gioca correndo tra il groviglio di fili, creando un disordine.","The cat playfully runs through the tangle of yarn, creating a mess.","it","en","","","tangling, maze"
"tintoria","dry cleaner","Mia madre porta sempre i suoi capi di seta delicati in tintoria.","My mom always takes her delicate silk garments to the dry cleaner.","it","en","","","dyeing, dry cleaning"
"gratarsi","scratch","Ha cercato di grattarsi il prurito sul braccio con una matita.","He tried to scratch the itch on his arm with a pencil.","it","en","","","itch, pick"
"reprimere","suppress","Cercò di reprimere il senso di invidia nei confronti della fortuna del suo amico.","He tried to suppress his feelings of envy towards his friend's fortune.","it","en","","","repress, quell"
"appassionato","passionate","Tende a fare il prepotente quando è appassionato di un argomento.","He tends to come on strong when he's passionate about a topic.","it","en","","","fond, keen"
"vicenda","story","Una vicenda reale si è svelata mentre raccoglievano prove dell'evento storico.","A true story unfolded as they gathered evidence of the historic event.","it","en","","","affair, event"
"oscillare","swing","I bambini adorano far oscillare gli zaini mentre camminano verso scuola.","The kids love to swing their backpacks as they walk to school.","it","en","","","oscillate, fluctuate"
"cacciare","hunt","Il viso piatto di un gufo lo aiuta a cacciare meglio.","An owl's face is flat, helping it to hunt better.","it","en","","","kick, kick out"
"pagella","report card","Sua madre ha esposto con orgoglio la sua eccellente pagella sul frigorifero.","His mom proudly displayed his outstanding report card on the fridge.","it","en","","","scoreboard, transcript"
"sonnifero","sleeping pill","Ma dov'è il sonnifero, che non riesco a dormire.","Where's the sleeping pill? I can't sleep.","it","en","","","sleeping draught, sleep aid"
"sonnambulo","sleepwalker's","Il medico ha sconsigliato le interruzioni improvvise dei modelli di sonno del sonnambulo.","The doctor advised against sudden disruptions to the sleepwalker's sleep patterns.","it","en","","","somnambulist, sleeptalker"
"metropolitana","metro","Si è affrettato a prendere la metropolitana per evitare di arrivare in ritardo.","He hurried to get on the metro to avoid being late.","it","en","","","mass rapid transit, metro"
"ferrovia","railway","La ferrovia storica utilizza uno scartamento d'epoca, attirando molti appassionati.","The historical railway uses a vintage gauge, attracting many enthusiasts.","it","en","","","railroad, rail"
"intasare","clog","Non c'è niente che si può danneggiare o intasare a tali piastre.","There is nothing that can break or clog in such a plate.","it","en","","","clog up, flood"
